point_id,longitude,latitude,x_utm,y_utm,B02,B03,B04,B08,B11,B12,NDVI,NDMI,iron_oxide_proxy,swir_ratio,MnO,sample_class,authoritative_label,pu_training_target,source
unlabeled_r58_c337,79.68843588004606,21.745111537083798,364370.0,2405190.0,1316.0,1482.0,1599.0,2700.0,3648.0,2729.0,0.25610607862472534,-0.14933837950229645,1.2150455713272095,1.3367533683776855,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r135_c391,79.69900283311337,21.731283880925133,365450.0,2403650.0,1357.0,1564.0,1662.0,3258.0,3524.0,2567.0,0.3243902325630188,-0.039221469312906265,1.2247605323791504,1.3728086948394775,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r578_c43,79.63247483126999,21.65071525201276,358490.0,2394790.0,1217.0,1350.0,1351.0,2619.0,2842.0,2118.0,0.3193954527378082,-0.04083501175045967,1.1101068258285522,1.341831922531128,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r512_c132,79.64956179339278,21.662778764672662,360270.0,2396110.0,1263.0,1471.0,1500.0,2681.0,3151.0,2349.0,0.282468318939209,-0.08058984577655792,1.1876484155654907,1.3414218425750732,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r590_c262,79.67481334065293,21.64889050560857,362870.0,2394550.0,1603.0,1788.0,2120.0,3199.0,4617.0,3654.0,0.20285767316818237,-0.18142272531986237,1.3225202560424805,1.2635468244552612,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r558_c269,79.67611326093115,21.654682108025614,363010.0,2395190.0,1914.0,2247.0,2914.0,4126.0,5570.0,4489.0,0.1721590906381607,-0.14892739057540894,1.5224660634994507,1.2408108711242676,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r374_c410,79.70306341634397,21.688137070659476,365830.0,2398870.0,1261.0,1466.0,1502.0,2998.0,3056.0,2215.0,0.3324444591999054,-0.009580442681908607,1.1911181211471558,1.3796839714050293,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r35_c49,79.63270824724842,21.748815712499336,358610.0,2405650.0,1496.0,1756.0,1999.0,3767.0,3815.0,2700.0,0.30662503838539124,-0.006330783478915691,1.336229920387268,1.4129629135131836,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r542_c441,79.70932559923838,21.657834209291764,366450.0,2395510.0,1326.0,1521.0,1696.0,2959.0,3765.0,2806.0,0.2713211476802826,-0.11986912786960602,1.2790347337722778,1.34176766872406,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r207_c266,79.67495377968908,21.71808552343454,362950.0,2402210.0,1823.0,2160.0,2696.0,3911.0,5373.0,4209.0,0.18389587104320526,-0.15747523307800293,1.4788810014724731,1.27655029296875,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r255_c152,79.65299528853696,21.709236712173347,360670.0,2401250.0,1738.0,2025.0,2395.0,3553.0,4721.0,3679.0,0.19468729197978973,-0.141165092587471,1.3780207633972168,1.283229112625122,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r414_c565,79.7330866958129,21.68114248554603,368930.0,2398070.0,1966.0,2250.0,2552.0,3164.0,4242.0,4020.0,0.10706788301467896,-0.14555765688419342,1.2980670928955078,1.055223822593689,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r70_c347,79.69038917907291,21.74295905442457,364570.0,2404950.0,1186.0,1366.0,1407.0,2869.0,3112.0,2258.0,0.34190833568573,-0.04062865674495697,1.1863406896591187,1.3782107830047607,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r132_c415,79.70363830537012,21.731862225097075,365930.0,2403710.0,1504.0,1734.0,1996.0,3458.0,4198.0,3114.0,0.2680601477622986,-0.09665621817111969,1.3271276950836182,1.3481053113937378,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r348_c245,79.67112776737704,21.69258149992677,362530.0,2399390.0,1976.0,2328.0,2907.0,3944.0,5343.0,4196.0,0.1513647586107254,-0.15064068138599396,1.4711538553237915,1.2733556032180786,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r0_c435,79.70729191471372,21.75573835334645,366330.0,2406350.0,1647.0,1987.0,2220.0,3675.0,3792.0,2886.0,0.24681933224201202,-0.015668943524360657,1.3479052782058716,1.3139293193817139,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r152_c365,79.69400356024667,21.728173257977673,364930.0,2403310.0,1619.0,1853.0,2211.0,3551.0,4668.0,3635.0,0.23255814611911774,-0.13590461015701294,1.3656578063964844,1.2841815948486328,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r165_c168,79.6559372637468,21.725520105861214,360990.0,2403050.0,1324.0,1516.0,1593.0,3085.0,3278.0,2425.0,0.3189397156238556,-0.030331604182720184,1.203172206878662,1.351752519607544,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r546_c16,79.62720283448307,21.65645290894766,357950.0,2395430.0,1491.0,1753.0,1998.0,3360.0,4379.0,3274.0,0.2541993260383606,-0.1316707581281662,1.3400402069091797,1.3375076055526733,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r286_c446,79.70988024139955,21.704088710892986,366550.0,2400630.0,1218.0,1396.0,1406.0,2968.0,2759.0,2068.0,0.3571102023124695,0.036493800580501556,1.1543513536453247,1.3341392278671265,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r191_c47,79.63258815882071,21.720631827677472,358570.0,2402530.0,1565.0,1794.0,2174.0,3399.0,4294.0,3107.0,0.21980980038642883,-0.11633952707052231,1.3891373872756958,1.3820405006408691,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r576_c217,79.66609453445598,21.6513499985222,361970.0,2394830.0,1273.0,1430.0,1489.0,2814.0,3284.0,2478.0,0.30792471766471863,-0.07707445323467255,1.169677972793579,1.3252623081207275,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r333_c485,79.71749461058576,21.695656552697983,367330.0,2399690.0,1829.0,2180.0,2741.0,3800.0,5108.0,3991.0,0.16190184652805328,-0.14683429896831512,1.4986331462860107,1.2798796892166138,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r137_c627,79.74463632332106,21.73127478326966,370170.0,2403610.0,1404.0,1632.0,1674.0,2461.0,2286.0,1882.0,0.1903264820575714,0.03686538711190224,1.192307710647583,1.2146652936935425,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r155_c589,79.73731741975998,21.72796716409012,369410.0,2403250.0,1764.0,2060.0,2501.0,3856.0,5248.0,4136.0,0.21315085887908936,-0.152899831533432,1.4178004264831543,1.268858790397644,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r287_c453,79.71123503041619,21.70391858531933,366690.0,2400610.0,1415.0,1660.0,1723.0,3717.0,3415.0,2547.0,0.36654412746429443,0.042344365268945694,1.217667818069458,1.3407931327819824,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r83_c656,79.75015913261713,21.74107250797752,370750.0,2404690.0,1690.0,1983.0,2312.0,3883.0,4393.0,3342.0,0.2535915970802307,-0.06162397190928459,1.3680473566055298,1.31448233127594,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r445_c545,79.72927014302647,21.67551265464136,368530.0,2397450.0,1911.0,2158.0,2376.0,3337.0,4119.0,3758.0,0.16821284592151642,-0.10488197207450867,1.2433280944824219,1.0960617065429688,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r364_c638,79.74711826931204,21.690282375530685,370390.0,2399070.0,1663.0,1882.0,2161.0,3353.0,4265.0,3399.0,0.21617700159549713,-0.11971645802259445,1.2994588613510132,1.2547807693481445,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r500_c202,79.66306947342954,21.665056047636757,361670.0,2396350.0,1346.0,1531.0,1671.0,2961.0,3574.0,2753.0,0.2784973978996277,-0.09380260109901428,1.241456151008606,1.298220157623291,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r75_c648,79.7485997044282,21.74250605084871,370590.0,2404850.0,1327.0,1621.0,1542.0,3578.0,3421.0,2593.0,0.39765626192092896,0.02243177592754364,1.1620196104049683,1.3193212747573853,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r598_c502,79.72120300432579,21.647808814182348,367670.0,2394390.0,1282.0,1462.0,1535.0,2771.0,3531.0,2626.0,0.2870413362979889,-0.12059663236141205,1.19734787940979,1.3446305990219116,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r513_c163,79.65555427787325,21.66264674100619,360890.0,2396090.0,1236.0,1462.0,1489.0,2898.0,2982.0,2187.0,0.3211762011051178,-0.014285714365541935,1.2046926021575928,1.3635116815567017,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r97_c322,79.6855995062918,21.738043207128918,364070.0,2404410.0,1599.0,1813.0,2161.0,3572.0,4665.0,3717.0,0.24611896276474,-0.13269394636154175,1.35146963596344,1.2550443410873413,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r301_c91,79.64128117511233,21.700830697190852,359450.0,2400330.0,1712.0,1984.0,2351.0,3578.0,4814.0,3771.0,0.2069488912820816,-0.14728312194347382,1.3732476234436035,1.276584506034851,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r89_c147,79.65174916512278,21.739216276979356,360570.0,2404570.0,1372.0,1608.0,1789.0,3481.0,3517.0,2553.0,0.3210626244544983,-0.005144326947629452,1.3039358854293823,1.3775949478149414,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r554_c528,79.72615742176752,21.655796197982383,368190.0,2395270.0,1190.0,1395.0,1367.0,2730.0,2903.0,2101.0,0.33268246054649353,-0.03071187622845173,1.1487394571304321,1.3817230463027954,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r29_c604,79.74001914430613,21.750751548936158,369710.0,2405770.0,1781.0,2089.0,2355.0,3854.0,3838.0,3144.0,0.24142374098300934,0.0020800831262022257,1.3222908973693848,1.2207379341125488,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r564_c495,79.71979617253167,21.653940619572985,367530.0,2395070.0,1312.0,1504.0,1624.0,2989.0,3586.0,2640.0,0.29590287804603577,-0.09079848229885101,1.237804889678955,1.3583333492279053,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r77_c305,79.68227952637534,21.74163005785738,363730.0,2404810.0,1396.0,1588.0,1820.0,3010.0,4240.0,3207.0,0.24637681245803833,-0.16965517401695251,1.3037248849868774,1.3221079111099243,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r96_c614,79.74205830679378,21.738662498625636,369910.0,2404430.0,1843.0,2175.0,2716.0,3820.0,5069.0,3961.0,0.1689106523990631,-0.14051073789596558,1.4736841917037964,1.2797273397445679,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r176_c472,79.71472983544156,21.723999465945063,367070.0,2402830.0,1337.0,1506.0,1620.0,2932.0,3738.0,2737.0,0.2882249653339386,-0.12083958089351654,1.2116678953170776,1.3657288551330566,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r495_c309,79.68373974369445,21.666124556487866,363810.0,2396450.0,1211.0,1408.0,1408.0,2891.0,2841.0,2056.0,0.344963937997818,0.008722959086298943,1.1626754999160767,1.3818093538284302,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r457_c308,79.68348416480248,21.672987748660912,363790.0,2397210.0,1200.0,1372.0,1407.0,2722.0,2985.0,2159.0,0.318479061126709,-0.046083755791187286,1.1725000143051147,1.382584571838379,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r64_c322,79.68554527441857,21.74400463222986,364070.0,2405070.0,1375.0,1552.0,1737.0,2787.0,3955.0,3044.0,0.23209549486637115,-0.17324236035346985,1.263272762298584,1.2992773056030273,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r477_c541,79.72854773796628,21.669725810673697,368450.0,2396810.0,1562.0,1832.0,2151.0,3189.0,4231.0,3524.0,0.19438202679157257,-0.1404312700033188,1.3770806789398193,1.2006243467330933,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r87_c555,79.73063580668602,21.740201292740597,368730.0,2404610.0,1420.0,1696.0,1847.0,3083.0,3446.0,2640.0,0.2507099509239197,-0.05559810250997543,1.3007042407989502,1.3053029775619507,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r445_c342,79.69003569801373,21.675207561097604,364470.0,2397450.0,1238.0,1427.0,1486.0,2726.0,3401.0,2511.0,0.2943969666957855,-0.11016810685396194,1.2003231048583984,1.354440450668335,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r152_c647,79.74852679240263,21.728594244104183,370570.0,2403310.0,1462.0,1783.0,1490.0,1195.0,1389.0,1296.0,-0.10986964404582977,-0.07507739961147308,1.0191518068313599,1.0717592239379883,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r235_c416,79.70399840475895,21.71325668851256,365950.0,2401650.0,1328.0,1570.0,1669.0,3481.0,3228.0,2307.0,0.3518446683883667,0.037710536271333694,1.2567771673202515,1.3992197513580322,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r362_c439,79.70864950011592,21.690348632276766,366410.0,2399110.0,1279.0,1487.0,1597.0,3045.0,3533.0,2609.0,0.3119345009326935,-0.07418668270111084,1.2486317157745361,1.354158639907837,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r488_c137,79.65048771468214,21.66712218167078,360370.0,2396590.0,1229.0,1432.0,1394.0,2987.0,2960.0,2109.0,0.36361560225486755,0.004540104418992996,1.1342555284500122,1.4035087823867798,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r580_c457,79.71247850130851,21.65099339849063,366770.0,2394750.0,1704.0,2125.0,2716.0,3462.0,4543.0,4106.0,0.12075105309486389,-0.13504059612751007,1.593896746635437,1.1064295768737793,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r445_c311,79.68404429223996,21.675160154478277,363850.0,2397450.0,1374.0,1549.0,1768.0,2699.0,3657.0,2791.0,0.20841728150844574,-0.15072372555732727,1.2867540121078491,1.3102830648422241,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
unlabeled_r463_c41,79.63189246669381,21.671486475547844,358450.0,2397090.0,1243.0,1374.0,1376.0,2955.0,2804.0,2075.0,0.3645809292793274,0.02621982991695404,1.106999158859253,1.351325273513794,,unlabeled_background,,0,"Valid Sentinel-2 Phase 4 raster pixel; unlabeled/background, not confirmed non-manganese."
