point_id,longitude,latitude,B02,B03,B04,B08,B11,B12,NDVI,NDMI,iron_oxide_proxy,swir_ratio,MnO,label,sample_class,sample_type,location,source,source_report,NUID,page
ME/JBP/2024/BRS_34/49367,79.66,21.693,1343.0,1540.0,1678.0,3249.0,3582.0,2654.0,0.31885528564453125,-0.04874835163354874,1.2494415044784546,1.349660873413086,35.31,1,authoritative_manganese_positive,BRS,Mineralization associated garnet bearing quartz rich rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_35/49367,79.663,21.698,1331.0,1555.0,1728.0,2785.0,3847.0,2863.0,0.23421227931976318,-0.16013269126415253,1.2982720136642456,1.3436954021453857,14.81,1,authoritative_manganese_positive,BRS,Mineralization associated garnet bearing quartz rich rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_36/49367,79.665,21.699,1280.0,1448.0,1511.0,2856.0,3265.0,2457.0,0.30799174308776855,-0.06681914627552032,1.1804687976837158,1.328856348991394,32.57,1,authoritative_manganese_positive,BRS,Mineralization associated quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_37/49367,79.677,21.683,1227.0,1398.0,1424.0,2765.0,2925.0,2149.0,0.32012414932250977,-0.028119508177042007,1.1605541706085205,1.3610981702804565,15.52,1,authoritative_manganese_positive,BRS,"Mineralization associated quartz vein hosted within fine grained qtz mica , metasedimentary",Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_38/49367,79.677,21.683,1227.0,1398.0,1424.0,2765.0,2925.0,2149.0,0.32012414932250977,-0.028119508177042007,1.1605541706085205,1.3610981702804565,11.87,1,authoritative_manganese_positive,BRS,"Mineralization associated quartz vein hosted within fine grained qtz mica , metasedimentary",Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_39/49367,79.678,21.684,1239.0,1425.0,1480.0,2711.0,3173.0,2344.0,0.2937246561050415,-0.07851801812648773,1.1945116519927979,1.3536689281463623,50.81,1,authoritative_manganese_positive,BRS,Mineralization associated garnet bearing quartz rich rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_40/49367,79.678,21.684,1239.0,1425.0,1480.0,2711.0,3173.0,2344.0,0.2937246561050415,-0.07851801812648773,1.1945116519927979,1.3536689281463623,12.13,1,authoritative_manganese_positive,BRS,Mineralization associated garnet bearing quartz rich rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_41/49367,79.674,21.682,1327.0,1539.0,1654.0,2815.0,3613.0,2784.0,0.25978967547416687,-0.12414436787366867,1.2464205026626587,1.297773003578186,5.69,1,authoritative_manganese_positive,BRS,Mineralization associated quartz in pegmatite veins,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_42/49367,79.681,21.669,1290.0,1451.0,1571.0,2443.0,3263.0,2458.0,0.21723966300487518,-0.14370837807655334,1.2178294658660889,1.3275020122528076,23.13,1,authoritative_manganese_positive,BRS,Mineralization associated quartz and brownish color rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_43/49367,79.684,21.687,1194.0,1374.0,1344.0,2613.0,2783.0,2052.0,0.32069748640060425,-0.03150481730699539,1.125628113746643,1.356237769126892,22.87,1,authoritative_manganese_positive,BRS,Mineralization associated garnet bearing quartz rich rock,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_44/49367,79.686,21.688,1420.0,1584.0,1729.0,2335.0,2788.0,2315.0,0.14911417663097382,-0.08842474967241287,1.2176055908203125,1.2043195962905884,13.89,1,authoritative_manganese_positive,BRS,Mineralization associated quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_45/49367,79.685,21.689,1293.0,1518.0,1613.0,2855.0,3284.0,2484.0,0.27797672152519226,-0.06988108903169632,1.2474864721298218,1.3220611810684204,11.63,1,authoritative_manganese_positive,BRS,Mineralization associated quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_46/49367,79.688,21.689,1241.0,1378.0,1404.0,2755.0,2748.0,2048.0,0.32483771443367004,0.0012720334343612194,1.1313456296920776,1.341796875,28.47,1,authoritative_manganese_positive,BRS,Mineralization is intermixed woth quartz and yellow color material,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_47/49367,79.646,21.687,1295.0,1481.0,1575.0,2872.0,3103.0,2254.0,0.29165729880332947,-0.03866108879446983,1.2162162065505981,1.3766636848449707,14.24,1,authoritative_manganese_positive,BRS,Mineralization is intermixed woth quartz and yellow color material,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_48/49367,79.646,21.687,1295.0,1481.0,1575.0,2872.0,3103.0,2254.0,0.29165729880332947,-0.03866108879446983,1.2162162065505981,1.3766636848449707,15.69,1,authoritative_manganese_positive,BRS,Mineralization associated quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_49/49367,79.634,21.696,1226.0,1421.0,1375.0,3161.0,2726.0,1925.0,0.3937389850616455,0.07389162480831146,1.1215333938598633,1.4161038398742676,21.53,1,authoritative_manganese_positive,BRS,Mineralization associated quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_50/49367,79.692,21.691,1248.0,1397.0,1462.0,2729.0,3068.0,2243.0,0.30231449007987976,-0.058478523045778275,1.1714743375778198,1.3678109645843506,19.61,1,authoritative_manganese_positive,BRS,Mineralization is intermixed woth quartz and yellow color material,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_51/49367,79.649,21.71,1524.0,1878.0,2138.0,3618.0,4025.0,2995.0,0.2571229934692383,-0.05325134098529816,1.4028871059417725,1.3439065217971802,30.4,1,authoritative_manganese_positive,BRS,Mineralization associated quartz and pink feldspar,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_52/49367,79.727,21.704,1281.0,1486.0,1528.0,2741.0,3348.0,2462.0,0.284141480922699,-0.09968796372413635,1.1928181648254395,1.3598700761795044,16.75,1,authoritative_manganese_positive,BRS,Mineralization associated quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_53/49367,79.73,21.702,1305.0,1530.0,1561.0,3175.0,3324.0,2328.0,0.3407939076423645,-0.022926604375243187,1.1961685419082642,1.4278351068496704,12.48,1,authoritative_manganese_positive,BRS,"Mineralization associated quartz vein, light weight",Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_54/49367,79.74,21.717,1245.0,1469.0,1451.0,3095.0,3181.0,2285.0,0.36163660883903503,-0.013702995143830776,1.1654618978500366,1.392122507095337,19.63,1,authoritative_manganese_positive,BRS,Mineralization associated with garnet bearing quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_55/49367,79.739,21.716,1203.0,1403.0,1368.0,3107.0,2923.0,2052.0,0.3886033594608307,0.030514096841216087,1.1371570825576782,1.4244639873504639,17.25,1,authoritative_manganese_positive,BRS,Mineralization associated with quartz vein hosted in Quartz mica schist,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_56/49367,79.739,21.716,1203.0,1403.0,1368.0,3107.0,2923.0,2052.0,0.3886033594608307,0.030514096841216087,1.1371570825576782,1.4244639873504639,14.7,1,authoritative_manganese_positive,BRS,Mineralization associated with quartz vein hosted in Quartz mica schist,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_57/49367,79.737,21.714,1284.0,1515.0,1628.0,2996.0,3312.0,2432.0,0.29584774374961853,-0.05009511858224869,1.267912745475769,1.361842155456543,6.22,1,authoritative_manganese_positive,BRS,Mineralization associated with pegmatite vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_58/49367,79.736,21.712,1187.0,1377.0,1336.0,2525.0,2615.0,1964.0,0.30795130133628845,-0.01750972680747509,1.1255265474319458,1.3314664363861084,32.62,1,authoritative_manganese_positive,BRS,Mineralization associated with pegmatite vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_59/49367,79.732,21.72,1668.0,2020.0,2430.0,3595.0,4733.0,3745.0,0.19336099922657013,-0.13664744794368744,1.4568345546722412,1.263818383216858,0.15,1,authoritative_manganese_positive,BRS,Laterite debris over the quartz mica schist,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,120
ME/JBP/2024/BRS_60/49367,79.689,21.686,1215.0,1389.0,1413.0,2742.0,2734.0,2014.0,0.31985560059547424,0.0014609204372391105,1.1629629135131836,1.3574975728988647,34.74,1,authoritative_manganese_positive,BRS,Mineralization associated with quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,121
ME/JBP/2024/BRS_61/49367,79.691,21.691,1203.0,1387.0,1419.0,2829.0,2953.0,2148.0,0.33192089200019836,-0.0214458666741848,1.179551124572754,1.3747671842575073,20.04,1,authoritative_manganese_positive,BRS,Mineralization associated with quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,121
ME/JBP/2024/BRS_62/49367,79.702,21.709,1278.0,1503.0,1539.0,3155.0,3075.0,2275.0,0.3442692756652832,0.012841091491281986,1.2042253017425537,1.3516483306884766,27.27,1,authoritative_manganese_positive,BRS,Mineralization associated with quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,121
ME/JBP/2024/BRS_63/49367,79.692,21.703,1239.0,1384.0,1373.0,3136.0,2603.0,1923.0,0.3909958004951477,0.09287331998348236,1.1081517934799194,1.353614091873169,17.46,1,authoritative_manganese_positive,BRS,Mineralization associated with pegmatite vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,121
ME/JBP/2024/BRS_64/49367,79.69,21.704,1452.0,1640.0,1834.0,3313.0,3793.0,2895.0,0.2873518466949463,-0.06754855066537857,1.2630853652954102,1.310189962387085,25.29,1,authoritative_manganese_positive,BRS,Mineralization associated with garnet bearing quartz vein,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,121
ME/JBP/2024/BRS_65/49367,79.689,21.703,1250.0,1413.0,1478.0,2934.0,3152.0,2336.0,0.3300090730190277,-0.03581991419196129,1.1823999881744385,1.3493150472640991,0.43,1,authoritative_manganese_positive,BRS,Mineralization associated with garnet bearing bedded quartzite,Geological Survey of India (GSI) / NGDR/Bhu-Chayan; NUID 49367,20260724162936.935_CR_Final_Report_49367_2024_25_JBP.pdf,49367,121
